Sector,2024_Jobs,2025_Projected_Jobs,Job_Growth_2024_2025,Growth_Rate_Percent
Healthcare,412000,421700,9700,2.35
Construction,315000,325000,10000,3.17
Professional Services,385000,392000,7000,1.82
Government,275000,277200,2200,0.8
Restaurants & Bars,285000,290200,5200,1.82
Wholesale Trade,195000,198000,3000,1.54
Oil & Gas Extraction,165000,167900,2900,1.76
Transportation & Warehousing,175000,178000,3000,1.71
Technology,230800,245000,14200,6.15
Manufacturing,239500,242000,2500,1.04
Education,185000,187000,2000,1.08
Finance,165000,167000,2000,1.21
Retail Trade,295000,297000,2000,0.68
Real Estate,125000,127000,2000,1.6
