ROI_Indicator,Current_Value,Metric_Type,Source_Period
Median Property Value,285105,USD,2024
Median Appraised Value,259515,USD,2024
Price per Square Foot,165.56,USD/sq ft,2024
Property Value Range,N/A,USD,2024
Median Lot Size (sq ft),7800,sq ft,2024
Median Year Built,1972,Year,2024
Property Tax Rate,2.12,Percent,2024
Annual Rent (3-4 BR),28800,USD/year,2025
Construction Cost (per sq ft),250,USD/sq ft,2024
Average Days on Market,52,Days,2024
Market Absorption Rate,N/A,Percent,2024
Building Permit Fee Est.,1647,USD,2024
Impact Fee Estimated,5750,USD,2024
Price Appreciation (5-yr),N/A,Percent,2019-2024
Rental Yield Potential,N/A,Percent,2024
